lx,ly,dx,dy
28,5,60,5
29,5,61,5
30,5,62,5
31,5,63,5
32,5,80,5
33,5,81,5
34,5,82,5
35,5,83,5
36,5,84,5
37,5,85,5
38,5,86,5
39,5,87,5
40,5,88,5
41,5,89,5
42,5,90,5
43,5,91,5
44,5,92,5
45,5,93,5
46,5,94,5
47,5,95,5
48,5,112,5
49,5,113,5
50,5,114,5
51,5,115,5
52,5,116,5
53,5,117,5
54,5,118,5
55,5,119,5
56,5,120,5
57,5,121,5
58,5,122,5
59,5,123,5
60,5,124,5
61,5,125,5
62,5,126,5
63,5,127,5
0,6,16,6
1,6,17,6
2,6,18,6
3,6,19,6
4,6,20,6
5,6,21,6
6,6,22,6
7,6,23,6
8,6,24,6
9,6,25,6
10,6,26,6
11,6,27,6
12,6,28,6
13,6,29,6
14,6,30,6
15,6,31,6
16,6,48,6
17,6,49,6
18,6,50,6
19,6,51,6
20,6,52,6
21,6,53,6
22,6,54,6
23,6,55,6
24,6,56,6
25,6,57,6
26,6,58,6
27,6,59,6
28,6,60,6
29,6,61,6
30,6,62,6
31,6,63,6
32,6,80,6
33,6,81,6
34,6,82,6
35,6,83,6
36,6,84,6
37,6,85,6
38,6,86,6
39,6,87,6
40,6,88,6
41,6,89,6
42,6,90,6
43,6,91,6
44,6,92,6
45,6,93,6
46,6,94,6
47,6,95,6
48,6,112,6
49,6,113,6
50,6,114,6
51,6,115,6
52,6,116,6
53,6,117,6
54,6,118,6
55,6,119,6
56,6,120,6
57,6,121,6
58,6,122,6
59,6,123,6
60,6,124,6
61,6,125,6
62,6,126,6
63,6,127,6
0,7,16,7
1,7,17,7
2,7,18,7
3,7,19,7
4,7,20,7
5,7,21,7
6,7,22,7
7,7,23,7
8,7,24,7
9,7,25,7
10,7,26,7
11,7,27,7
12,7,28,7
13,7,29,7
14,7,30,7
15,7,31,7
16,7,48,7
17,7,49,7
18,7,50,7
19,7,51,7
20,7,52,7
21,7,53,7
22,7,54,7
23,7,55,7
24,7,56,7
25,7,57,7
26,7,58,7
27,7,59,7
28,7,60,7
29,7,61,7
30,7,62,7
31,7,63,7
32,7,80,7
33,7,81,7
34,7,82,7
35,7,83,7
36,7,84,7
37,7,85,7
38,7,86,7
39,7,87,7
40,7,88,7
41,7,89,7
42,7,90,7
43,7,91,7
44,7,92,7
45,7,93,7
46,7,94,7
47,7,95,7
48,7,112,7
49,7,113,7
50,7,114,7
51,7,115,7
52,7,116,7
53,7,117,7
54,7,118,7
55,7,119,7
56,7,120,7
57,7,121,7
58,7,122,7
59,7,123,7
60,7,124,7
61,7,125,7
62,7,126,7
63,7,127,7
0,8,0,0
1,8,1,0
2,8,2,0
3,8,3,0
4,8,4,0
5,8,5,0
6,8,6,0
7,8,7,0
8,8,8,0
9,8,9,0
10,8,10,0
11,8,11,0
12,8,12,0
13,8,13,0
14,8,14,0
15,8,15,0
16,8,32,0
17,8,33,0
18,8,34,0
19,8,35,0
20,8,36,0
21,8,37,0
22,8,38,0
23,8,39,0
24,8,40,0
25,8,41,0
26,8,42,0
27,8,43,0
28,8,44,0
29,8,45,0
30,8,46,0
31,8,47,0
32,8,64,0
33,8,65,0
34,8,66,0
35,8,67,0
36,8,68,0
37,8,69,0
38,8,70,0
39,8,71,0
40,8,72,0
41,8,73,0
42,8,74,0
43,8,75,0
44,8,76,0
45,8,77,0
46,8,78,0
47,8,79,0
48,8,96,0
49,8,97,0
50,8,98,0
51,8,99,0
52,8,100,0
53,8,101,0
54,8,102,0
55,8,103,0
56,8,104,0
57,8,105,0
58,8,106,0
59,8,107,0
60,8,108,0
61,8,109,0
62,8,110,0
63,8,111,0
0,9,0,1
1,9,1,1
2,9,2,1
3,9,3,1
4,9,4,1
5,9,5,1
6,9,6,1
7,9,7,1
8,9,8,1
9,9,9,1
10,9,10,1
11,9,11,1
12,9,12,1
13,9,13,1
14,9,14,1
15,9,15,1
16,9,32,1
17,9,33,1
18,9,34,1
19,9,35,1
20,9,36,1
21,9,37,1
22,9,38,1
23,9,39,1
24,9,40,1
25,9,41,1
26,9,42,1
27,9,43,1
28,9,44,1
29,9,45,1
30,9,46,1
31,9,47,1
32,9,64,1
33,9,65,1
34,9,66,1
35,9,67,1
36,9,68,1
37,9,69,1
38,9,70,1
39,9,71,1
40,9,72,1
41,9,73,1
42,9,74,1
43,9,75,1
44,9,76,1
45,9,77,1
46,9,78,1
47,9,79,1
48,9,96,1
49,9,97,1
50,9,98,1
51,9,99,1
52,9,100,1
53,9,101,1
54,9,102,1
55,9,103,1
56,9,104,1
57,9,105,1
58,9,106,1
59,9,107,1
60,9,108,1
61,9,109,1
62,9,110,1
63,9,111,1
0,10,0,2
1,10,1,2
2,10,2,2
3,10,3,2
4,10,4,2
5,10,5,2
6,10,6,2
7,10,7,2
8,10,8,2
9,10,9,2
10,10,10,2
11,10,11,2
12,10,12,2
13,10,13,2
14,10,14,2
15,10,15,2
16,10,32,2
17,10,33,2
18,10,34,2
19,10,35,2
20,10,36,2
21,10,37,2
22,10,38,2
23,10,39,2
24,10,40,2
25,10,41,2
26,10,42,2
27,10,43,2
28,10,44,2
29,10,45,2
30,10,46,2
31,10,47,2
32,10,64,2
33,10,65,2
34,10,66,2
35,10,67,2
36,10,68,2
37,10,69,2
38,10,70,2
39,10,71,2
40,10,72,2
41,10,73,2
42,10,74,2
43,10,75,2
44,10,76,2
45,10,77,2
46,10,78,2
47,10,79,2
48,10,96,2
49,10,97,2
50,10,98,2
51,10,99,2
52,10,100,2
53,10,101,2
54,10,102,2
55,10,103,2
56,10,104,2
57,10,105,2
58,10,106,2
59,10,107,2
60,10,108,2
61,10,109,2
62,10,110,2
63,10,111,2
0,11,0,3
1,11,1,3
2,11,2,3
3,11,3,3
4,11,4,3
5,11,5,3
6,11,6,3
7,11,7,3
8,11,8,3
9,11,9,3
10,11,10,3
11,11,11,3
12,11,12,3
13,11,13,3
14,11,14,3
15,11,15,3
16,11,32,3
17,11,33,3
18,11,34,3
19,11,35,3
20,11,36,3
21,11,37,3
22,11,38,3
23,11,39,3
24,11,40,3
25,11,41,3
26,11,42,3
27,11,43,3
28,11,44,3
29,11,45,3
30,11,46,3
31,11,47,3
32,11,64,3
33,11,65,3
34,11,66,3
35,11,67,3
36,11,68,3
37,11,69,3
38,11,70,3
39,11,71,3
