lx,ly,dx,dy
15,27,15,11
16,27,32,11
17,27,33,11
18,27,34,11
19,27,35,11
20,27,36,11
21,27,37,11
22,27,38,11
23,27,39,11
24,27,40,11
25,27,41,11
26,27,42,11
27,27,43,11
28,27,44,11
29,27,45,11
30,27,46,11
31,27,47,11
32,27,64,11
33,27,65,11
34,27,66,11
35,27,67,11
36,27,68,11
37,27,69,11
38,27,70,11
39,27,71,11
40,27,72,11
41,27,73,11
42,27,74,11
43,27,75,11
44,27,76,11
45,27,77,11
46,27,78,11
47,27,79,11
48,27,96,11
49,27,97,11
50,27,98,11
51,27,99,11
52,27,100,11
53,27,101,11
54,27,102,11
55,27,103,11
56,27,104,11
57,27,105,11
58,27,106,11
59,27,107,11
60,27,108,11
61,27,109,11
62,27,110,11
63,27,111,11
0,28,0,12
1,28,1,12
2,28,2,12
3,28,3,12
4,28,4,12
5,28,5,12
6,28,6,12
7,28,7,12
8,28,8,12
9,28,9,12
10,28,10,12
11,28,11,12
12,28,12,12
13,28,13,12
14,28,14,12
15,28,15,12
16,28,32,12
17,28,33,12
18,28,34,12
19,28,35,12
20,28,36,12
21,28,37,12
22,28,38,12
23,28,39,12
24,28,40,12
25,28,41,12
26,28,42,12
27,28,43,12
28,28,44,12
29,28,45,12
30,28,46,12
31,28,47,12
32,28,64,12
33,28,65,12
34,28,66,12
35,28,67,12
36,28,68,12
37,28,69,12
38,28,70,12
39,28,71,12
40,28,72,12
41,28,73,12
42,28,74,12
43,28,75,12
44,28,76,12
45,28,77,12
46,28,78,12
47,28,79,12
48,28,96,12
49,28,97,12
50,28,98,12
51,28,99,12
52,28,100,12
53,28,101,12
54,28,102,12
55,28,103,12
56,28,104,12
57,28,105,12
58,28,106,12
59,28,107,12
60,28,108,12
61,28,109,12
62,28,110,12
63,28,111,12
0,29,0,13
1,29,1,13
2,29,2,13
3,29,3,13
4,29,4,13
5,29,5,13
6,29,6,13
7,29,7,13
8,29,8,13
9,29,9,13
10,29,10,13
11,29,11,13
12,29,12,13
13,29,13,13
14,29,14,13
15,29,15,13
16,29,32,13
17,29,33,13
18,29,34,13
19,29,35,13
20,29,36,13
21,29,37,13
22,29,38,13
23,29,39,13
24,29,40,13
25,29,41,13
26,29,42,13
27,29,43,13
28,29,44,13
29,29,45,13
30,29,46,13
31,29,47,13
32,29,64,13
33,29,65,13
34,29,66,13
35,29,67,13
36,29,68,13
37,29,69,13
38,29,70,13
39,29,71,13
40,29,72,13
41,29,73,13
42,29,74,13
43,29,75,13
44,29,76,13
45,29,77,13
46,29,78,13
47,29,79,13
48,29,96,13
49,29,97,13
50,29,98,13
51,29,99,13
52,29,100,13
53,29,101,13
54,29,102,13
55,29,103,13
56,29,104,13
57,29,105,13
58,29,106,13
59,29,107,13
60,29,108,13
61,29,109,13
62,29,110,13
63,29,111,13
0,30,0,14
1,30,1,14
2,30,2,14
3,30,3,14
4,30,4,14
5,30,5,14
6,30,6,14
7,30,7,14
8,30,8,14
9,30,9,14
10,30,10,14
11,30,11,14
12,30,12,14
13,30,13,14
14,30,14,14
15,30,15,14
16,30,32,14
17,30,33,14
18,30,34,14
19,30,35,14
20,30,36,14
21,30,37,14
22,30,38,14
23,30,39,14
24,30,40,14
25,30,41,14
26,30,42,14
27,30,43,14
28,30,44,14
29,30,45,14
30,30,46,14
31,30,47,14
32,30,64,14
33,30,65,14
34,30,66,14
35,30,67,14
36,30,68,14
37,30,69,14
38,30,70,14
39,30,71,14
40,30,72,14
41,30,73,14
42,30,74,14
43,30,75,14
44,30,76,14
45,30,77,14
46,30,78,14
47,30,79,14
48,30,96,14
49,30,97,14
50,30,98,14
51,30,99,14
52,30,100,14
53,30,101,14
54,30,102,14
55,30,103,14
56,30,104,14
57,30,105,14
58,30,106,14
59,30,107,14
60,30,108,14
61,30,109,14
62,30,110,14
63,30,111,14
0,31,0,15
1,31,1,15
2,31,2,15
3,31,3,15
4,31,4,15
5,31,5,15
6,31,6,15
7,31,7,15
8,31,8,15
9,31,9,15
10,31,10,15
11,31,11,15
12,31,12,15
13,31,13,15
14,31,14,15
15,31,15,15
16,31,32,15
17,31,33,15
18,31,34,15
19,31,35,15
20,31,36,15
21,31,37,15
22,31,38,15
23,31,39,15
24,31,40,15
25,31,41,15
26,31,42,15
27,31,43,15
28,31,44,15
29,31,45,15
30,31,46,15
31,31,47,15
32,31,64,15
33,31,65,15
34,31,66,15
35,31,67,15
36,31,68,15
37,31,69,15
38,31,70,15
39,31,71,15
40,31,72,15
41,31,73,15
42,31,74,15
43,31,75,15
44,31,76,15
45,31,77,15
46,31,78,15
47,31,79,15
48,31,96,15
49,31,97,15
50,31,98,15
51,31,99,15
52,31,100,15
53,31,101,15
54,31,102,15
55,31,103,15
56,31,104,15
57,31,105,15
58,31,106,15
59,31,107,15
60,31,108,15
61,31,109,15
62,31,110,15
63,31,111,15
